id	is_true	c1.rep1	c1.rep2	c1.rep3	c2.rep1	c2.rep2	c2.rep3	c2.rep4
Q9Y5K5.9334	false	4.470e+06	9.603e+06	8.172e+06	8.701e+06	7.466e+06	7.071e+06	5.879e+06
Q9Y5K5.29238	false	3.425e+06	2.741e+06	3.138e+06	3.260e+06	2.673e+06	3.306e+06	2.057e+06
Q9Y5K5.16536	false	1.050e+07	2.802e+06	7.369e+06	9.808e+06	1.039e+07	8.233e+06	6.847e+06
Q9Y5K5.41696	false	2.625e+06	5.406e+06	7.779e+06	8.151e+06	4.625e+06	6.254e+06	4.737e+06
Q9Y5K5.17921	false	1.504e+07	1.634e+07	1.760e+07	2.515e+07	1.110e+07	1.899e+07	1.322e+07
Q9Y5K5.49313	false	1.426e+07	1.306e+07	1.908e+07	1.385e+07	1.736e+07	1.352e+07	6.540e+06
Q9Y5K5.33442	false	5.137e+06	2.957e+06	1.129e+07	1.599e+07	7.538e+06	1.548e+07	8.987e+06
Q9H2U2.1204	false	3.006e+06	5.751e+06	5.572e+06	6.305e+06	5.039e+06	6.633e+06	3.743e+06
Q9H2U2.54372	false	5.131e+06	5.042e+06	9.250e+06	7.591e+06	8.611e+06	0.000e+00	4.785e+06
Q9H2U2.45868	false	6.770e+06	8.276e+06	6.597e+06	0.000e+00	1.169e+07	8.379e+06	7.106e+06
Q9H2U2.12687	false	4.372e+06	1.447e+07	1.181e+07	1.205e+07	1.183e+07	1.306e+07	1.442e+07
Q9H2U2.19872	false	3.026e+06	2.521e+06	2.136e+06	9.509e+06	5.095e+06	9.631e+06	3.858e+06
Q9H2U2.28801	false	1.316e+07	2.008e+07	2.029e+07	1.858e+07	1.721e+07	2.272e+07	1.455e+07
Q9H2U2.37875	false	1.308e+07	2.032e+07	5.623e+07	3.531e+07	2.517e+07	3.398e+07	4.252e+07
Q6NYC8.29506	false	4.027e+06	5.179e+06	7.212e+06	8.647e+06	8.101e+06	8.661e+06	6.911e+06
Q6NYC8.8916	false	0.000e+00	9.225e+06	4.750e+06	7.451e+06	4.529e+06	1.083e+07	4.635e+06
Q6NYC8.9750	false	2.257e+06	2.220e+06	2.530e+06	3.859e+06	1.909e+06	2.068e+06	1.654e+06
Q6NYC8.12806	false	2.560e+06	4.196e+06	6.075e+06	5.908e+06	5.359e+06	6.846e+06	4.532e+06
Q6NYC8.12715	false	0.000e+00	2.245e+06	1.796e+06	2.054e+06	1.805e+06	1.580e+06	1.378e+06
Q92508.57795	false	0.000e+00	1.307e+06	1.529e+06	8.853e+05	0.000e+00	1.477e+06	1.329e+06
Q9NTZ6.48457	false	0.000e+00	8.767e+06	8.574e+06	1.163e+07	8.774e+06	8.619e+06	7.763e+06
Q9NTZ6.18160	false	4.882e+06	6.690e+06	6.484e+06	1.131e+07	1.108e+07	1.126e+07	7.495e+06
Q9NTZ6.8721	false	4.207e+06	8.369e+06	9.640e+06	9.274e+06	1.128e+07	8.765e+06	8.681e+06
Q9NTZ6.14741	false	4.052e+06	0.000e+00	3.397e+06	0.000e+00	2.873e+06	0.000e+00	3.832e+06
Q9NTZ6.42261	false	3.855e+06	3.876e+06	1.006e+07	7.740e+06	2.281e+06	8.242e+06	4.689e+06
Q9NTZ6.55351	false	2.256e+06	5.179e+06	8.840e+06	6.705e+06	3.461e+06	5.045e+06	6.355e+06
Q9NTZ6.58585	false	6.389e+06	1.097e+07	1.027e+07	1.419e+07	1.088e+07	1.540e+07	1.459e+07
Q9NTZ6.11644	false	3.042e+06	1.158e+07	2.139e+06	1.169e+07	4.284e+06	0.000e+00	6.710e+06
Q9NTZ6.31424	false	2.302e+06	1.629e+06	2.903e+06	3.137e+06	6.194e+06	3.528e+06	4.867e+06
Q9NTZ6.25761	false	1.537e+06	9.296e+05	7.271e+05	1.625e+06	1.799e+06	1.037e+06	1.372e+06
Q9NTZ6.18374	false	5.235e+06	8.370e+06	8.308e+06	8.971e+06	1.034e+07	7.619e+06	5.797e+06
Q9NTZ6.5384	false	7.597e+06	1.421e+07	1.530e+07	2.146e+07	1.663e+07	1.823e+07	1.294e+07
Q9NTZ6.15081	false	8.244e+06	8.120e+06	2.594e+06	1.409e+07	7.756e+06	1.089e+07	5.483e+06
Q9UBD5.50885	false	8.732e+05	0.000e+00	1.402e+06	1.551e+06	2.990e+06	2.489e+06	1.709e+06
Q9UBD5.33815	false	0.000e+00	1.928e+06	2.182e+06	4.869e+06	2.250e+06	1.788e+06	1.821e+06
Q9UBD5.24683	false	1.730e+06	8.111e+05	2.298e+06	2.056e+06	2.352e+06	3.026e+06	2.403e+06
Q9UBD5.14189	false	7.267e+05	3.791e+05	9.242e+05	2.812e+06	1.645e+06	1.504e+06	1.729e+06
Q9UBD5.10366	false	1.766e+06	3.086e+06	0.000e+00	0.000e+00	0.000e+00	3.628e+06	2.030e+06
Q9UBD5.21650	false	2.732e+06	2.485e+06	4.723e+06	0.000e+00	3.144e+06	4.313e+06	3.050e+06
Q14807.3073	false	3.304e+06	3.196e+06	3.267e+06	4.388e+06	3.341e+06	2.734e+06	2.778e+06
Q14807.23265	false	3.196e+06	4.269e+06	6.542e+06	4.632e+06	2.865e+06	3.201e+06	3.067e+06
Q14807.33511	false	1.678e+06	2.898e+06	4.883e+06	3.256e+06	4.417e+06	2.162e+06	2.044e+06
Q14807.58215	false	2.054e+06	3.037e+06	3.653e+06	4.616e+06	2.921e+06	2.265e+06	1.902e+06
Q14807.20650	false	2.419e+06	3.877e+06	0.000e+00	2.981e+06	2.547e+06	2.310e+06	2.397e+06
Q14807.11115	false	1.774e+06	2.916e+06	2.888e+06	3.246e+06	0.000e+00	3.200e+06	0.000e+00
Q14807.55531	false	3.118e+06	6.486e+06	6.557e+06	6.537e+06	5.855e+06	7.512e+06	6.496e+06
Q14807.13228	false	4.004e+06	5.475e+06	7.149e+06	7.204e+06	3.269e+06	4.697e+06	3.608e+06
Q14807.44943	false	1.809e+06	0.000e+00	2.602e+06	2.837e+06	5.385e+06	0.000e+00	2.211e+06
Q14807.18450	false	1.725e+06	2.094e+06	2.648e+06	2.858e+06	2.219e+06	2.246e+06	2.107e+06
Q14807.47346	false	3.008e+06	3.541e+06	4.109e+06	3.276e+06	1.771e+06	2.751e+06	2.717e+06
Q14807.29303	false	5.266e+06	6.053e+06	6.391e+06	7.368e+06	5.948e+06	9.307e+06	5.700e+06
Q14807.12601	false	4.295e+05	1.097e+06	3.474e+05	1.656e+06	2.119e+06	1.904e+06	1.025e+06
Q9H3P2.12352	false	0.000e+00	4.174e+06	5.085e+06	4.622e+06	5.943e+06	3.882e+06	3.591e+06
Q9H3P2.35477	false	3.386e+06	5.018e+06	5.351e+06	5.333e+06	3.062e+06	5.136e+06	5.858e+06
Q9H3P2.12566	false	2.424e+06	1.374e+07	2.754e+06	2.837e+06	2.968e+06	2.386e+06	7.039e+06
Q9H3P2.8951	false	0.000e+00	7.201e+06	5.735e+06	8.507e+06	0.000e+00	6.382e+06	0.000e+00
Q9H3P2.46457	false	2.747e+06	3.596e+06	3.992e+06	3.877e+06	4.314e+06	4.362e+06	3.471e+06
Q9H3P2.31966	false	3.491e+06	3.666e+06	2.808e+06	5.233e+06	3.813e+06	5.613e+06	5.659e+06
Q9H3P2.9711	false	2.199e+06	1.080e+06	1.414e+06	1.713e+06	2.208e+06	9.745e+05	1.141e+06
Q9BYD3.18759	false	0.000e+00	1.643e+06	2.385e+06	2.319e+06	1.885e+06	1.746e+06	1.208e+06
Q9BYD3.43272	false	4.346e+06	1.379e+07	1.036e+07	1.608e+07	5.534e+06	7.750e+06	1.001e+07
Q9BYD3.52779	false	7.160e+06	1.149e+07	2.922e+06	1.430e+07	6.837e+06	1.150e+07	1.159e+07
Q9BYD3.26962	false	1.161e+06	3.695e+06	6.221e+06	6.680e+06	4.629e+06	6.049e+06	5.053e+06
Q9BYD3.4116	false	4.284e+06	8.405e+06	8.378e+06	8.361e+06	6.447e+06	7.195e+06	6.837e+06
O95208.5263	false	2.090e+06	2.130e+06	2.262e+06	2.458e+06	2.647e+06	2.002e+06	2.224e+06
O95208.11808	false	2.148e+06	3.522e+06	2.723e+06	4.664e+06	2.811e+06	2.940e+06	2.595e+06
O95208.37356	false	0.000e+00	3.876e+06	3.037e+06	3.789e+06	2.893e+06	4.249e+06	3.880e+06
Q14008.29882	false	5.912e+06	6.392e+06	8.097e+06	8.328e+06	6.722e+06	8.570e+06	5.796e+06
Q14008.50495	false	3.666e+06	5.048e+06	5.544e+06	6.150e+06	8.546e+06	5.188e+06	8.469e+06
Q14008.64	false	1.510e+06	2.179e+06	3.385e+06	4.191e+06	4.259e+06	3.469e+06	3.774e+06
Q14008.2243	false	1.396e+06	1.395e+07	1.458e+07	1.466e+07	1.020e+07	8.835e+06	1.313e+07
